"variable" "rate" "dilution" "log_dilution" "amendment" "auxo" "strain" "kingdom" "phylum" "class" "order" "family" "genus" "order_abbrev" "strain_amendment" "min_strain" "rate_norm" "max_strain"
"17" "C7" 0.0484953530732324 2.96e-07 -6.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.944424297477711 0.0512523175395949
"18" "D2" 0.0320790463323139 2.96e-08 -7.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.780695412734597 0.0409903140002897
"19" "D3" 0.031768227015359 2.96e-08 -7.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.773112662406002 0.0409903140002897
"20" "D4" 0.0296691034334431 2.96e-08 -7.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.72190242815649 0.0409903140002897
"21" "D5" 0.0471107251234411 2.96e-08 -7.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.917408388417178 0.0512523175395949
"22" "D6" 0.0461529840607712 2.96e-08 -7.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.898721602947818 0.0512523175395949
"23" "D7" 0.0467936210644369 2.96e-08 -7.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.911221271927095 0.0512523175395949
"24" "E2" 0.00685138299716217 2.96e-09 -8.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.165241153590024 0.0409903140002897
"25" "E4" 0.0084047518060243 2.96e-09 -8.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.203137150406519 0.0409903140002897
"26" "E5" 0.0225016418341609 2.96e-09 -8.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.437252866273843 0.0512523175395949
"27" "E6" 0.0202013063179869 2.96e-09 -8.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.39237030043871 0.0512523175395949
"28" "E7" 0.0233918605898583 2.96e-09 -8.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.454622202889883 0.0512523175395949
"29" "F2" 0.000192314465874164 2.96e-10 -9.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.00278646902134865 0.0409903140002897
"30" "F3" 0.000252546664380425 2.96e-10 -9.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.00425589417641907 0.0409903140002897
"31" "F4" 0.000146963310032994 2.96e-10 -9.52870828894106 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.00168008189191974 0.0409903140002897
"32" "F5" 0.00210941523349774 2.96e-10 -9.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.0393737540774202 0.0512523175395949
"33" "F7" 0.00358975893915795 2.96e-10 -9.52870828894106 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.0682572031920202 0.0512523175395949
"34" "G2" 0.000151380249275452 2.96e-11 -10.5287082889411 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.00178783757396763 0.0409903140002897
"35" "G3" 9.74388614868938e-05 2.96e-11 -10.5287082889411 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.000471883083153601 0.0409903140002897
"36" "G4" 9.08629818373696e-05 2.96e-11 -10.5287082889411 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.000311457875152566 0.0409903140002897
"37" "G5" 0.000527197404556153 2.96e-11 -10.5287082889411 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.00850260707574076 0.0512523175395949
"38" "G6" 0.000599343492795367 2.96e-11 -10.5287082889411 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.00991027197174235 0.0512523175395949
"39" "G7" 0.000348742290353262 2.96e-11 -10.5287082889411 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.00502071351912207 0.0512523175395949
"40" "H2" 0.000166958879317846 2.96e-12 -11.5287082889411 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.00216789394636536 0.0409903140002897
"41" "H3" 7.80962257370029e-05 2.96e-12 -11.5287082889411 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0 0.0409903140002897
"42" "H4" 0.000151402729448294 2.96e-12 -11.5287082889411 "B1" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1" 7.80962257370029e-05 0.00178838600042861 0.0409903140002897
"43" "H5" 0.000171013193499511 2.96e-12 -11.5287082889411 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.00155298551411143 0.0512523175395949
"44" "H6" 0.000167295829519165 2.96e-12 -11.5287082889411 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0.00148045486264432 0.0512523175395949
"45" "H7" 9.14190867958807e-05 2.96e-12 -11.5287082889411 "B1-pyrimidine" "B1" "A2R20" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Oleiphilaceae" "Marinobacter" "Pse" "Pse_A2R20_B1-pyrimidine" 9.14190867958807e-05 0 0.0512523175395949
"110" "A8" 0.0159596541299122 2.96e-05 -4.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.511465144313064 0.0305783010662784
"210" "A9" 0.0173859096777827 2.96e-05 -4.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.558107877824618 0.0305783010662784
"310" "A10" 0.01909915560465 2.96e-05 -4.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.61413603724243 0.0305783010662784
"46" "A11" 0.0227210835245223 2.96e-05 -4.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.732583687817319 0.0305783010662784
"51" "B8" 0.0144143870147172 2.96e-06 -5.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.460930383999022 0.0305783010662784
"61" "B9" 0.0169579442049368 2.96e-06 -5.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.544112153473606 0.0305783010662784
"71" "B10" 0.0245071847717542 2.96e-06 -5.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.790994429583532 0.0305783010662784
"81" "B11" 0.0236673120819462 2.96e-06 -5.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.763528132878965 0.0305783010662784
"91" "C8" 0.0198758395525352 2.96e-07 -6.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.639535877024299 0.0305783010662784
"101" "C9" 0.0218872577836646 2.96e-07 -6.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.705315144053217 0.0305783010662784
"111" "C10" 0.0184877088574376 2.96e-07 -6.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.594139937855251 0.0305783010662784
"121" "C11" 0.0255077957607494 2.96e-07 -6.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.823717339428209 0.0305783010662784
"131" "D8" 0.0295058116165545 2.96e-08 -7.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.954464166962525 0.0305783010662784
"141" "D9" 0.0265924374995004 2.96e-08 -7.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.859188300892027 0.0305783010662784
"151" "D10" 0.0250775255223944 2.96e-08 -7.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.809646242495047 0.0305783010662784
"161" "D11" 0.0217197198669665 2.96e-08 -7.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.69983616350636 0.0305783010662784
"171" "E8" 0.0289114427587127 2.96e-09 -8.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.935026564574037 0.0305783010662784
"181" "E9" 0.0308982200284782 2.96e-09 -8.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 1 0.0305783010662784
"191" "E10" 0.0291240035964565 2.96e-09 -8.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.941977926498399 0.0305783010662784
"201" "E11" 0.0217946649140372 2.96e-09 -8.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.702287086038264 0.0305783010662784
"211" "F8" 0.0138480139343172 2.96e-10 -9.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.442408325524537 0.0305783010662784
"221" "F9" 0.0158446321656782 2.96e-10 -9.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.507703589216046 0.0305783010662784
"231" "F10" 0.0170528539461871 2.96e-10 -9.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.547215979976085 0.0305783010662784
"241" "F11" 0.00982779856440063 2.96e-10 -9.52870828894106 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.310935508862723 0.0305783010662784
"251" "G8" 0.000876784051293571 2.96e-11 -10.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.0182111193125731 0.0305783010662784
"261" "G9" 0.000976368829793143 2.96e-11 -10.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.0214678332249557 0.0305783010662784
"271" "G10" 0.0012308332529392 2.96e-11 -10.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.0297895651156355 0.0305783010662784
"281" "G11" 0.00195873397873775 2.96e-11 -10.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.05359405066311 0.0305783010662784
"291" "H8" 0.000378750590762277 2.96e-12 -11.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.00192396655507334 0.0305783010662784
"301" "H9" 0.000379226208070425 2.96e-12 -11.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.00193952063399738 0.0305783010662784
"311" "H10" 0.000319918962199794 2.96e-12 -11.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0 0.0305783010662784
"321" "H11" 0.000393290916499799 2.96e-12 -11.5287082889411 "B1" "B1" "E3M18" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Arenibacter" "Fla" "Fla_E3M18_B1" 0.000319918962199794 0.00239947779116215 0.0305783010662784
"112" "A8" 0.0496583513946313 8.12e-06 -11.7211804037907 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.993039139161638 0.0496721660003426
"212" "A9" 0.0479993127613498 8.12e-06 -11.7211804037907 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.959639374930095 0.0496721660003426
"312" "A10" 0.0500041124296997 8.12e-06 -11.7211804037907 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 1 0.0496721660003426
"47" "A11" 0.0492680112725995 8.12e-06 -11.7211804037907 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.98518081218574 0.0496721660003426
"52" "B8" 0.0128613682561258 8.12e-07 -14.0237654967847 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.252242308633818 0.0496721660003426
"62" "B9" 0.0134252590034098 8.12e-07 -14.0237654967847 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.263594556636857 0.0496721660003426
"72" "B10" 0.00882806336638678 8.12e-07 -14.0237654967847 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.171043818322137 0.0496721660003426
"82" "B11" 0.00828667011472385 8.12e-07 -14.0237654967847 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.160144489880144 0.0496721660003426
"92" "C8" 0.00526518809853008 8.12e-08 -16.3263505897788 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0993160167233077 0.0496721660003426
"102" "C9" 0.00567022667877226 8.12e-08 -16.3263505897788 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.10747025304631 0.0496721660003426
"113" "C10" 0.00526605334129553 8.12e-08 -16.3263505897788 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.0993334357898619 0.0496721660003426
"122" "C11" 0.0051636903159117 8.12e-08 -16.3263505897788 "B3niacin" "B3" "B2R09" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodobacterales" "Rhodobacteraceae" "Roseovarius" "Rho" "Rho_B2R09_B3niacin" 0.00033194642935714 0.097272663457463 0.0496721660003426
